echo_duration_ms,signal_amplitude,distance_cm,distance_delta,angular_velocity,echo_count,noise_ratio,doppler_shift_hz,object_class,object_name,is_moving
5.9214,0.7782,101.87,-86.5078,4.897,1,0.0352,6.038,2,Submarine,1
7.2458,0.6874,124.1,22.1698,0.01,1,0.0454,-0.0066,2,Submarine,0
3.0497,0.4098,52.82,-91.5894,0.0147,6,0.1328,-0.0495,0,Fish School,0
8.4472,0.6405,144.4,-20.3617,3.5777,1,0.0486,-4.487,2,Submarine,1
7.1339,0.4594,122.29,57.5635,1.2064,3,0.0827,-1.7405,3,Diver,1
2.211,0.3455,38.46,-76.8409,0.0239,3,0.2663,-0.175,4,Debris,0
6.9737,0.4578,119.03,48.4541,0.0422,2,0.1771,-0.0727,3,Diver,0
9.2556,0.6186,158.48,37.9762,0.01,1,0.0289,0.0756,1,Rock/Reef,0
7.517,0.2976,128.85,93.3457,1.4349,3,0.0885,-1.6217,0,Fish School,1
5.2259,0.3727,89.22,-58.5267,2.1134,3,0.1804,-2.9271,0,Fish School,1
2.204,0.4058,38.14,-14.141,1.3689,3,0.1076,-1.8465,3,Diver,1
3.4839,0.467,59.45,4.9768,1.7109,2,0.0936,2.0797,5,Marine Mammal,1
4.3765,0.6952,74.9,-80.0588,0.0191,1,0.0561,-0.1227,1,Rock/Reef,0
4.9736,0.4495,84.67,-46.1167,0.0125,5,0.1623,-0.1054,0,Fish School,0
6.167,0.2575,105.82,-5.8324,2.4806,7,0.1393,-2.7737,0,Fish School,1
9.3159,0.6183,159.89,42.0793,0.0286,1,0.0897,0.0467,2,Submarine,0
8.0101,0.252,137.28,73.8459,3.27,6,0.0801,-3.1588,0,Fish School,1
5.8886,0.1652,99.96,-35.832,0.0076,3,0.1695,0.0586,4,Debris,0
5.7634,0.6994,99.03,-54.0268,6.5753,1,0.034,-7.7878,2,Submarine,1
7.3922,0.7157,126.89,27.5659,0.017,1,0.0338,0.1493,1,Rock/Reef,0
2.4758,0.4457,42.84,-27.3694,2.1394,6,0.1161,2.6155,0,Fish School,1
5.7108,0.6755,98.58,-38.3106,0.0183,1,0.0323,0.1406,1,Rock/Reef,0
5.6322,0.7303,96.71,-89.8331,1.8456,1,0.0356,2.3043,2,Submarine,1
8.5063,0.5334,145.59,-7.4328,0.0444,1,0.0356,-0.0259,1,Rock/Reef,0
5.4274,0.3569,92.88,-23.09,0.1313,8,0.2212,0.3325,4,Debris,1
4.2724,0.3946,73.65,-75.7373,2.3326,3,0.0467,-3.0103,5,Marine Mammal,1
10.5711,0.4517,180.77,12.7688,0.0197,1,0.0326,0.0588,1,Rock/Reef,0
2.6394,0.8532,45.5,-136.18,3.0506,1,0.0232,-3.4927,2,Submarine,1
8.8137,0.5065,151.55,-14.2681,0.0049,1,0.0651,-0.0549,1,Rock/Reef,0
3.8593,0.4168,65.32,-10.075,1.0558,3,0.0708,0.7846,3,Diver,1
9.0053,0.2692,154.75,65.0387,0.017,3,0.2631,-0.277,4,Debris,0
6.0979,0.7798,105.13,53.4243,0.0586,1,0.0823,0.1039,2,Submarine,0
3.5049,0.8076,60.35,-95.6779,0.0492,1,0.0584,-0.0723,1,Rock/Reef,0
5.4878,0.6295,93.79,-52.9026,4.3274,2,0.0658,5.0262,5,Marine Mammal,1
9.7547,0.5462,167.94,-6.0978,0.0059,1,0.0356,-0.0045,1,Rock/Reef,0
10.3664,0.5432,178.83,54.0895,2.7244,1,0.0745,3.1544,2,Submarine,1
5.1553,0.2217,87.73,15.7508,0.8918,6,0.1808,-1.1374,0,Fish School,1
6.0494,0.2635,104.53,12.3305,0.8844,4,0.1434,-0.8321,0,Fish School,1
4.8128,0.3589,82.75,52.4491,1.471,4,0.0834,1.7358,3,Diver,1
1.9428,0.3777,32.18,-125.2262,0.026,6,0.2402,-0.1297,4,Debris,0
6.3533,0.6122,109.91,16.5427,0.0252,1,0.0225,0.1568,1,Rock/Reef,0
7.5452,0.2753,129.29,67.915,0.6897,8,0.2453,-0.7138,4,Debris,1
6.9332,0.3275,118.85,49.4582,0.0288,4,0.2719,-0.0395,4,Debris,0
6.6784,0.482,114.72,2.4616,1.5018,2,0.0822,-2.2132,3,Diver,1
5.6039,0.3959,95.96,42.9008,0.6473,2,0.1484,0.3787,3,Diver,1
11.0891,0.5798,190.79,148.6868,6.1531,1,0.0388,7.3211,2,Submarine,1
5.104,0.7567,87.44,34.4815,0.0218,1,0.0502,-0.0831,1,Rock/Reef,0
8.12,0.3089,139.01,4.5198,2.0021,7,0.1723,-2.3755,0,Fish School,1
3.8446,0.1743,66.38,-15.9922,2.7784,4,0.1215,3.2578,0,Fish School,1
9.0829,0.3935,155.49,132.4113,0.0183,5,0.1893,-0.0636,4,Debris,0
7.5945,0.4211,130.35,-27.1035,3.5861,2,0.0518,4.3042,5,Marine Mammal,1
5.6616,0.63,97.48,40.5683,0.0013,1,0.0286,0.0445,1,Rock/Reef,0
6.7361,0.4327,115.24,-10.2251,0.0132,2,0.0643,-0.0844,3,Diver,0
8.2813,0.2115,142.22,0.3046,1.4993,4,0.1694,1.8415,0,Fish School,1
8.692,0.6418,149.89,30.9975,4.1852,1,0.0207,-4.8535,2,Submarine,1
3.6988,0.8331,63.79,-0.0006,4.1797,1,0.0457,-4.6323,2,Submarine,1
6.6032,0.4145,113.99,91.2835,0.018,2,0.0897,-0.2742,3,Diver,0
9.7497,0.5675,167.47,-18.7849,5.6764,1,0.0849,-6.5966,2,Submarine,1
3.3495,0.4943,57.33,-91.9139,2.456,3,0.1939,2.9024,0,Fish School,1
7.9815,0.5492,136.19,93.9714,4.598,3,0.0712,5.7468,5,Marine Mammal,1
3.597,0.7672,60.94,-77.2271,0.0136,1,0.0492,0.0545,1,Rock/Reef,0
11.0536,0.4517,189.66,27.6229,0.0165,1,0.0673,-0.1711,1,Rock/Reef,0
5.3013,0.352,90.6,-20.0903,0.0684,5,0.1444,-0.2733,4,Debris,1
8.4669,0.5135,145.55,40.3876,2.0402,3,0.0477,-2.6145,5,Marine Mammal,1
4.885,0.2832,83.89,-38.3136,0.7622,3,0.196,0.9803,0,Fish School,1
7.8862,0.233,135.77,14.7822,1.4373,5,0.1625,-1.5104,0,Fish School,1
3.0027,0.7099,51.51,-42.5908,0.015,1,0.0328,0.0814,1,Rock/Reef,0
3.0438,0.4201,52.71,17.1232,0.8873,2,0.1204,-0.8554,3,Diver,1
4.5319,0.4711,78.03,11.0824,2.179,4,0.1547,-2.6316,0,Fish School,1
4.1951,0.4577,72.04,-30.3276,0.2135,7,0.2305,0.4051,4,Debris,1
6.2434,0.3254,106.67,5.2452,1.3418,4,0.1412,1.933,3,Diver,1
3.2645,0.6254,55.85,-9.866,0.0642,2,0.0634,-0.0528,3,Diver,0
4.861,0.5157,83.87,48.5438,0.024,3,0.1616,-0.069,3,Diver,0
6.0334,0.6997,103.18,-18.853,4.7293,1,0.0528,5.5866,2,Submarine,1
6.6201,0.5202,112.87,38.7794,1.0904,4,0.1766,-1.4862,3,Diver,1
4.4099,0.6195,74.99,-9.2927,4.7662,3,0.0508,-5.5281,5,Marine Mammal,1
9.8814,0.3736,169.61,62.6746,4.1874,3,0.0544,-5.2535,5,Marine Mammal,1
5.5386,0.5451,94.5,61.1749,1.4463,3,0.11,-1.5854,5,Marine Mammal,1
4.1222,0.3276,70.97,30.3345,0.9474,3,0.0808,-1.2927,0,Fish School,1
6.3845,0.7301,108.7,55.6877,0.0121,1,0.0384,0.183,1,Rock/Reef,0
2.9421,0.7811,50.36,-0.8195,3.4316,1,0.0299,-4.2102,2,Submarine,1
9.6062,0.4924,165.08,91.5577,0.0198,1,0.0657,0.0569,1,Rock/Reef,0
1.9848,0.3634,34.68,-68.7653,0.0237,4,0.2489,-0.1302,4,Debris,0
2.0636,0.3971,35.38,-20.8801,0.0295,7,0.1171,0.1003,0,Fish School,0
7.2439,0.4082,124.13,68.2358,4.8543,3,0.087,-5.9489,5,Marine Mammal,1
7.1198,0.6152,121.92,-71.1932,0.0235,1,0.0558,0.1268,1,Rock/Reef,0
7.2478,0.3983,123.93,21.9603,0.4302,2,0.0697,-0.7295,3,Diver,1
4.3164,0.7286,73.51,-50.2954,0.0388,1,0.0424,-0.1283,1,Rock/Reef,0
8.4795,0.126,145.87,68.7438,0.022,5,0.1407,0.1936,4,Debris,0
5.7388,0.4108,97.99,-7.972,0.2006,6,0.2491,-0.1011,4,Debris,1
5.7849,0.6947,100.19,-25.9038,0.0467,1,0.0842,0.1908,2,Submarine,0
6.075,0.7168,104.09,19.2399,0.0196,1,0.0402,0.1637,1,Rock/Reef,0
4.9407,0.5333,84.28,29.7609,4.2437,3,0.0559,5.5115,5,Marine Mammal,1
2.4592,0.4312,42.58,-51.2432,0.6268,6,0.1369,-0.9397,0,Fish School,1
5.3911,0.4082,92.45,45.246,2.8751,3,0.1575,3.4569,0,Fish School,1
6.2439,0.3729,106.98,49.1532,0.0138,4,0.1581,0.0064,3,Diver,0
9.996,0.5386,171.57,47.3251,0.0421,1,0.0431,0.1258,1,Rock/Reef,0
2.9655,0.3953,50.6,-66.7947,1.4845,7,0.0902,2.3086,0,Fish School,1
6.0371,0.1456,103.16,67.7377,0.0049,4,0.2735,0.0577,4,Debris,0
6.3282,0.3302,108.31,66.1905,0.0271,3,0.2759,0.0483,4,Debris,0
6.6913,0.1533,114.69,94.4536,0.028,5,0.2598,0.0651,4,Debris,0
3.0321,0.6863,52.6,-93.5976,0.0416,1,0.0686,0.2401,1,Rock/Reef,0
9.6076,0.3535,164.96,71.3572,1.7026,2,0.1296,1.8265,5,Marine Mammal,1
7.0309,0.2647,121.15,79.8925,2.731,3,0.1688,3.1521,0,Fish School,1
6.3083,0.3965,108.21,-21.8955,2.9507,6,0.0892,3.5039,0,Fish School,1
9.8837,0.5481,170.29,18.376,2.0301,1,0.065,-2.6629,2,Submarine,1
3.7953,0.3579,65.26,39.2923,0.5147,3,0.1116,0.457,3,Diver,1
2.3036,0.6958,39.53,-58.0029,3.6489,3,0.1286,-4.529,5,Marine Mammal,1
5.8011,0.312,99.98,66.9738,1.6394,5,0.1053,1.8027,0,Fish School,1
5.6007,0.4622,95.56,-24.7363,1.2838,4,0.145,-2.0806,3,Diver,1
2.1667,0.4272,36.9,-43.96,0.2524,8,0.2943,0.0328,4,Debris,1
1.8306,0.5036,30.54,-78.1801,1.4404,2,0.173,-1.6416,3,Diver,1
8.5972,0.5377,146.86,-47.2671,0.023,1,0.0305,0.1026,1,Rock/Reef,0
6.1282,0.2115,104.03,44.0958,2.7443,3,0.0981,-3.4853,0,Fish School,1
6.5438,0.7082,112.1,30.0543,2.7816,1,0.0885,3.5581,2,Submarine,1
2.9038,0.2679,49.89,-60.8212,0.0086,5,0.1713,-0.041,4,Debris,0
8.247,0.5297,140.47,-13.0977,2.8748,2,0.0946,3.6565,5,Marine Mammal,1
9.1578,0.5134,157.15,13.408,3.6486,1,0.0314,4.7146,2,Submarine,1
3.8687,0.3309,66.82,-67.3119,0.0036,4,0.1476,0.1155,4,Debris,0
3.3925,0.6788,57.87,-106.3371,0.0239,1,0.0348,-0.1294,1,Rock/Reef,0
6.2047,0.3408,106.22,64.7695,0.0174,4,0.1365,0.0192,3,Diver,0
9.3638,0.5504,160.91,98.8086,5.9233,1,0.0403,-7.0168,2,Submarine,1
3.8621,0.4408,66.07,13.4492,0.0006,2,0.0839,-0.1708,3,Diver,0
7.4818,0.4443,127.94,68.6506,1.1163,3,0.1411,1.2672,3,Diver,1
4.0161,0.523,69.1,-30.2639,4.7089,2,0.071,5.2477,5,Marine Mammal,1
2.8808,0.7423,49.29,-65.0549,3.828,2,0.0839,-4.9088,5,Marine Mammal,1
9.3628,0.2575,160.44,85.232,4.0296,3,0.0836,-4.503,5,Marine Mammal,1
5.2421,0.3085,90.32,-22.493,0.0392,4,0.1499,0.0399,3,Diver,0
5.5821,0.8119,95.61,40.6829,5.831,1,0.0878,-7.0835,2,Submarine,1
5.2511,0.3386,90.32,-7.7575,0.0006,6,0.2477,0.0869,4,Debris,0
6.8864,0.0979,118.09,32.9966,0.7091,3,0.1591,-1.0162,4,Debris,1
6.9043,0.6794,118.31,-19.7263,1.8161,1,0.0342,2.4539,2,Submarine,1
7.5265,0.4686,129.39,-11.193,0.0498,1,0.0261,-0.1149,1,Rock/Reef,0
3.9242,0.3959,67.11,16.8448,0.4752,3,0.1634,-0.5157,3,Diver,1
6.1568,0.4178,105.06,-2.1061,2.3678,3,0.0802,2.7271,5,Marine Mammal,1
4.7616,0.172,81.73,-55.4997,0.0224,5,0.2175,-0.0073,4,Debris,0
6.8725,0.175,118.43,32.6937,0.0534,7,0.2328,0.1383,4,Debris,0
8.1465,0.581,139.65,-8.6393,4.3199,1,0.0713,-5.2632,2,Submarine,1
3.7579,0.2954,64.77,9.3689,0.9301,6,0.109,1.3059,0,Fish School,1
2.9627,0.3402,50.41,-2.3989,0.0169,8,0.1635,0.2254,4,Debris,0
7.5019,0.5662,128.09,-52.9146,0.0429,1,0.0445,0.2143,1,Rock/Reef,0
7.5839,0.2086,130.16,67.7496,0.014,3,0.135,-0.0336,4,Debris,0
8.3472,0.6526,143.0,21.1081,4.8924,1,0.0863,5.7923,2,Submarine,1
3.8964,0.5552,67.16,-0.0447,3.344,2,0.0485,3.9095,5,Marine Mammal,1
2.0901,0.5408,36.1,-28.3253,1.41,3,0.1188,-1.3995,3,Diver,1
8.7879,0.3463,151.25,20.0579,0.0119,4,0.1459,0.0239,4,Debris,0
2.8735,0.6334,49.03,-13.9708,0.0063,4,0.1101,-0.0847,3,Diver,0
4.238,0.5558,73.29,-5.8672,0.3577,4,0.1221,0.4115,3,Diver,1
11.3536,0.5261,194.78,83.3367,1.9851,1,0.0511,-2.3726,2,Submarine,1
2.231,0.3315,38.37,-53.9784,2.7048,5,0.0902,3.4247,0,Fish School,1
7.5374,0.4175,129.05,-40.0878,3.683,3,0.0605,4.6498,5,Marine Mammal,1
4.2265,0.4169,72.61,30.1213,2.1769,4,0.1529,2.1687,0,Fish School,1
9.4828,0.4895,162.42,102.1982,0.0175,1,0.0254,-0.1632,1,Rock/Reef,0
5.8506,0.469,100.2,55.6141,0.022,2,0.1592,-0.034,3,Diver,0
2.1445,0.3833,37.31,-60.3645,0.0008,6,0.136,-0.1556,4,Debris,0
3.1634,0.2729,53.18,-48.4319,1.5455,4,0.1179,1.6733,0,Fish School,1
9.2581,0.4805,158.99,-22.227,0.0016,1,0.0202,-0.0526,1,Rock/Reef,0
9.7104,0.5946,166.42,-8.8713,6.2914,1,0.0245,-7.4963,2,Submarine,1
6.1085,0.4737,104.97,15.7808,1.6525,3,0.0434,-1.7261,5,Marine Mammal,1
9.7322,0.5774,167.92,80.2664,0.0488,1,0.0745,-0.078,2,Submarine,0
5.5857,0.7229,96.11,10.3725,5.4519,1,0.0437,-6.7321,2,Submarine,1
6.9234,0.6563,118.8,-49.8858,0.0144,1,0.0554,0.1206,2,Submarine,0
2.6003,0.3514,45.03,-77.1402,0.0105,3,0.1247,0.0276,0,Fish School,0
8.9069,0.5844,153.03,20.0079,0.0071,1,0.0676,0.0931,1,Rock/Reef,0
9.6533,0.2318,165.12,71.3645,0.077,2,0.068,-0.2095,5,Marine Mammal,0
7.2291,0.4141,123.85,30.8239,0.0318,8,0.1593,0.0411,4,Debris,0
7.5614,0.3269,129.57,-0.6305,1.1177,4,0.1,1.1497,0,Fish School,1
9.9512,0.5479,170.29,38.5124,0.052,1,0.0349,0.1631,1,Rock/Reef,0
6.1772,0.2247,105.63,-42.7872,2.0924,4,0.0826,-2.4353,0,Fish School,1
4.6836,0.4105,80.31,13.4426,1.109,4,0.1401,-0.9116,3,Diver,1
2.8703,0.3974,49.3,-88.2735,2.2191,5,0.1589,2.5676,0,Fish School,1
2.3724,0.4995,40.68,-22.7045,0.0054,6,0.1128,-0.0597,0,Fish School,0
0.9923,0.6522,16.55,-26.0237,1.0521,3,0.1771,-1.5927,3,Diver,1
1.2152,0.3104,20.85,-100.472,0.0328,4,0.1875,0.0498,4,Debris,0
7.2774,0.6222,124.81,-22.35,6.1439,1,0.0303,-7.3108,2,Submarine,1
9.2994,0.5673,159.15,34.279,2.8502,1,0.0425,-3.6102,2,Submarine,1
6.139,0.3383,105.46,14.2598,2.6176,7,0.087,2.984,0,Fish School,1
9.1122,0.2614,156.21,70.7684,5.0844,2,0.0579,6.1218,5,Marine Mammal,1
5.8818,0.3791,100.39,56.4598,1.3783,3,0.116,-1.7577,3,Diver,1
5.6657,0.3879,97.04,24.8675,1.8317,2,0.162,2.0436,3,Diver,1
4.0981,0.5522,70.41,-56.2426,1.0963,3,0.1585,-1.1607,3,Diver,1
4.6922,0.5334,80.11,14.2373,1.3442,4,0.1295,-1.8196,3,Diver,1
2.6523,0.4769,45.1,-15.5077,1.1962,3,0.0918,1.346,5,Marine Mammal,1
7.5538,0.2713,129.13,95.0518,2.2341,6,0.1973,-2.801,0,Fish School,1
5.9504,0.645,101.96,22.4342,1.9277,1,0.073,-2.1961,2,Submarine,1
4.0696,0.5327,69.86,36.7379,0.004,3,0.1475,0.2429,3,Diver,0
4.1052,0.6493,70.51,-78.6372,3.1897,3,0.0867,3.6845,5,Marine Mammal,1
2.9316,0.5569,49.85,-8.1669,0.0001,5,0.153,0.0343,4,Debris,0
9.4768,0.5715,161.75,3.7976,0.0197,1,0.0857,0.1362,2,Submarine,0
9.2952,0.5122,159.04,8.1315,0.0024,1,0.0478,-0.0148,1,Rock/Reef,0
4.6,0.6765,78.47,-28.7682,0.0044,1,0.0335,-0.1222,1,Rock/Reef,0
8.9026,0.5176,152.58,60.866,0.0346,1,0.0649,0.0309,1,Rock/Reef,0
9.0842,0.5519,156.24,109.8602,0.0052,1,0.0212,0.0583,2,Submarine,0
3.0525,0.5087,52.43,-60.0465,0.0194,2,0.1061,0.0896,3,Diver,0
8.9381,0.5633,153.59,29.0114,5.0133,1,0.0244,5.986,2,Submarine,1
6.625,0.6606,113.97,-54.1618,0.0045,1,0.0466,0.0698,1,Rock/Reef,0
4.5073,0.2729,77.21,-21.9672,0.012,3,0.2742,0.1028,4,Debris,0
2.1052,0.4771,36.45,-32.5007,4.4665,3,0.0898,-5.5219,5,Marine Mammal,1
5.0768,0.602,87.48,-63.3164,0.0154,1,0.023,0.0634,1,Rock/Reef,0
6.4073,0.2631,110.64,-30.3427,1.6375,5,0.1465,-2.2707,0,Fish School,1
7.253,0.5083,124.24,49.2746,1.3758,4,0.1773,-1.7961,3,Diver,1
7.274,0.4252,125.1,-3.8568,3.6551,2,0.0885,-4.2425,5,Marine Mammal,1
6.0625,0.4693,104.09,56.3999,1.6008,2,0.0656,2.2365,3,Diver,1
1.244,0.5234,21.27,-101.2946,0.7001,4,0.1218,0.8475,3,Diver,1
7.8635,0.2214,134.16,7.1505,0.0005,6,0.153,0.246,4,Debris,0
1.8474,0.544,31.03,0.3518,0.0175,8,0.2376,0.0488,4,Debris,0
5.552,0.3447,94.78,48.2454,5.1568,2,0.114,-6.3623,5,Marine Mammal,1
8.6941,0.2381,149.04,51.2821,2.623,5,0.1513,3.3739,0,Fish School,1
6.4278,0.2977,110.16,-23.8643,2.205,4,0.1814,2.7814,0,Fish School,1
4.4178,0.3071,76.25,-19.1906,2.2409,3,0.1458,2.8618,0,Fish School,1
5.1501,0.1809,88.03,-42.1395,1.2287,5,0.1799,1.6151,0,Fish School,1
8.3241,0.3032,142.89,62.542,1.5217,6,0.0982,1.81,0,Fish School,1
6.718,0.3394,115.21,51.5529,1.2457,7,0.15,1.4369,0,Fish School,1
3.7217,0.3173,64.06,20.5784,0.016,4,0.1728,0.1453,4,Debris,0
8.4145,0.6982,144.9,-15.3642,0.0126,1,0.064,0.0153,1,Rock/Reef,0
11.3258,0.5218,194.05,112.6309,4.5144,1,0.0341,-5.3973,2,Submarine,1
5.3025,0.3599,91.08,-15.4982,1.5564,4,0.0987,-1.8891,3,Diver,1
9.8406,0.5884,168.79,48.9858,0.0076,1,0.042,-0.2309,2,Submarine,0
2.9574,0.7711,50.24,-120.7964,0.0084,1,0.0283,0.0855,1,Rock/Reef,0
1.3594,0.3671,24.0,-87.5349,0.0404,5,0.2498,0.0724,4,Debris,0
7.0442,0.3922,121.03,105.1938,1.4964,2,0.1507,-2.1006,3,Diver,1
5.164,0.2835,88.54,-58.0903,1.7359,7,0.1965,-2.1045,0,Fish School,1
6.5579,0.2371,112.62,-34.0834,0.0717,5,0.2958,0.0455,4,Debris,0
6.616,0.7246,113.46,-43.3285,5.339,1,0.0548,6.6426,2,Submarine,1
3.8648,0.4612,66.2,-79.9816,4.3978,3,0.0571,4.6599,5,Marine Mammal,1
8.7681,0.4228,150.1,13.361,4.4676,3,0.0591,-5.6052,5,Marine Mammal,1
5.8204,0.2977,99.31,-26.5619,0.0029,5,0.1236,0.1179,0,Fish School,0
2.8968,0.6472,49.4,-101.1958,3.2925,3,0.0533,3.9228,5,Marine Mammal,1
10.2131,0.5385,175.65,102.2357,5.337,1,0.0623,6.2688,2,Submarine,1
2.0906,0.4253,35.93,-119.6315,0.0152,6,0.2403,0.1135,4,Debris,0
7.8853,0.3183,134.85,28.5806,0.0014,8,0.2893,-0.028,4,Debris,0
8.2242,0.5221,141.0,59.2688,3.483,3,0.1118,3.9045,5,Marine Mammal,1
4.332,0.7997,73.64,13.5005,0.0021,1,0.0258,-0.0037,1,Rock/Reef,0
3.4134,0.8018,58.18,8.0286,4.7382,1,0.0664,5.6929,2,Submarine,1
1.9481,0.3093,34.16,-79.0628,1.1033,6,0.1607,-1.6037,0,Fish School,1
7.1261,0.6726,122.52,-21.9062,3.7861,1,0.0541,4.273,2,Submarine,1
8.936,0.5491,154.0,23.081,4.8618,2,0.0917,5.7685,5,Marine Mammal,1
2.1211,0.4665,36.92,-85.9667,1.4622,6,0.1282,-1.6618,0,Fish School,1
6.916,0.6273,118.82,-19.9665,2.289,1,0.0282,-2.8294,2,Submarine,1
5.3426,0.5823,90.66,35.3501,4.3932,3,0.0422,-5.7505,5,Marine Mammal,1
5.7891,0.4528,99.93,-22.0606,4.0618,3,0.0692,-4.7663,5,Marine Mammal,1
4.7555,0.6386,81.33,-45.1898,0.0074,1,0.0254,-0.1323,1,Rock/Reef,0
3.7475,0.7201,64.21,-64.9,0.0439,3,0.0855,-0.1727,5,Marine Mammal,0
6.4405,0.2541,109.9,58.6768,1.5458,6,0.091,-1.996,0,Fish School,1
3.2699,0.5543,56.3,-78.5744,0.0044,3,0.2412,0.0738,4,Debris,0
9.2848,0.512,158.83,5.2475,4.9429,2,0.1167,6.0972,5,Marine Mammal,1
4.5816,0.532,78.99,62.0753,0.0274,4,0.0742,0.1438,3,Diver,0
3.7573,0.5278,65.48,5.3872,1.1647,4,0.0999,2.0851,3,Diver,1
2.7165,0.8602,46.29,-93.3896,4.6474,1,0.0441,-5.5066,2,Submarine,1
4.188,0.5772,71.41,-33.0245,2.0877,3,0.0941,-2.8716,5,Marine Mammal,1
8.5093,0.519,146.17,-18.9396,0.022,3,0.1095,0.0132,5,Marine Mammal,0
2.2279,0.6183,37.86,-85.324,4.5327,3,0.1227,5.2801,5,Marine Mammal,1
6.5941,0.7914,112.7,-70.1175,6.2618,1,0.0685,-7.7841,2,Submarine,1
10.6737,0.4324,182.83,111.0285,0.0349,1,0.0581,0.077,1,Rock/Reef,0
10.6571,0.4673,182.38,36.6001,0.0097,1,0.027,-0.0035,1,Rock/Reef,0
7.8778,0.3226,134.75,49.5893,2.4388,4,0.0847,-3.2167,0,Fish School,1
4.034,0.7063,68.33,-104.6183,2.6481,1,0.0286,3.282,2,Submarine,1
